SOG,COG,Heading,LON,LAT,Cluster
13.2,122.1,122,-91.45145,27.27557,1
0.0,0.0,0,-95.28495,29.74647,1
12.8,130.0,129,-94.4956,29.19442,1
8.3,212.8,210,-94.64045,29.24743,2
10.1,300.0,302,-89.82878,29.59377,2
13.5,228.2,226,-89.30329,29.06722,2
0.3,259.3,33,-96.17824,27.55005,1
12.3,179.4,176,-93.22987,29.07859,2
0.0,0.0,0,-91.29709,29.68523,1
14.1,175.5,174,-94.42636,28.40063,2
11.0,284.2,282,-94.70103,29.34377,2
0.5,284.1,253,-93.84222,28.68573,2
0.5,80.3,353,-80.11648,26.088,0
0.0,0.0,0,-95.00882,29.61245,1
0.4,285.2,32,-93.32417,29.789,2
13.1,228.0,229,-80.66463,24.60428,0
9.0,308.6,307,-89.80415,29.57823,2
16.6,148.8,145,-80.30785,28.11093,0
12.3,60.5,75,-79.83735,26.14895,0
11.5,279.9,278,-84.80073,27.90022,2
15.8,325.2,327,-78.89878,29.65318,2
12.4,267.7,267,-91.31618,27.95195,2
6.5,18.0,29,-93.76743,29.54045,1
0.0,0.0,0,-95.27641,29.73349,1
10.5,76.7,78,-93.53755,28.94519,1
1.1,106.1,103,-95.14471,29.73507,1
0.0,0.0,0,-88.77473,28.17417,1
12.7,128.6,126,-94.52277,29.16688,1
14.4,202.4,204,-83.06888,27.4488,0
0.0,0.0,0,-95.28495,29.74646,1
12.4,60.4,74,-79.83353,26.1509,0
11.2,83.0,82,-90.45142,28.00918,1
11.1,82.0,83,-90.44732,28.00965,1
6.7,24.0,31,-93.76647,29.54242,1
0.0,0.0,0,-80.25603,25.80401,0
12.2,42.2,42,-89.29583,29.07209,1
11.5,264.9,268,-94.72449,29.34561,2
13.0,90.0,89,-83.40215,23.66165,0
13.2,228.3,229,-80.66812,24.6014,0
14.0,70.8,72,-81.1333,24.38497,0
8.5,121.1,118,-89.80503,28.63476,1
14.0,71.1,72,-81.13773,24.38357,0
0.6,285.0,253,-93.84236,28.68606,2
13.3,94.9,96,-85.03438,27.61167,0
0.0,0.0,0,-93.32449,29.79471,1
0.0,0.0,0,-93.32448,29.79469,1
14.7,115.9,110,-86.01421,25.23609,0
2.3,282.6,283,-79.99439,26.12123,0
0.4,111.1,356,-80.11628,26.08807,0
8.8,111.7,106,-89.61439,28.81843,1
8.8,111.6,105,-89.61697,28.81934,1
0.0,0.0,0,-92.18547,29.78027,1
1.1,269.4,355,-94.37022,28.56848,2
0.9,328.0,6,-91.19459,27.93614,2
12.0,59.7,60,-95.79284,27.84226,1
9.9,297.0,297,-89.83194,29.59542,2
0.1,274.3,252,-90.2048,29.14362,2
0.0,0.0,0,-97.06972,27.84003,1
0.0,0.0,0,-93.86952,29.72574,1
0.3,253.2,33,-96.1789,27.55019,1
0.9,281.9,31,-93.32439,29.78903,2
0.0,0.0,0,-93.6245,29.41137,1
18.4,32.5,511,-89.42117,28.91693,2
9.0,18.2,511,-94.77582,29.33605,2
9.0,307.9,307,-89.80673,29.58002,2
12.8,130.0,129,-94.49097,29.19098,1
0.0,0.0,0,-95.20248,29.74243,1
